               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084626,            0.025646,            0.018185,             0.34326,             0.37207,             0.27306,             0.13828,            0.057036,             0.01229,           0.0054015,            0.070536,           0.0032738,           0.0032738
                   1,            0.062796,            0.020965,           0.0074034,             0.47202,             0.49932,             0.42621,             0.19254,            0.051185,            0.010341,           0.0049457,            0.040514,           0.0065853,           0.0065853
                   2,             0.05699,            0.020519,           0.0058364,             0.22792,             0.18837,             0.13242,            0.042422,            0.055713,            0.011971,           0.0078159,             0.01047,           0.0098749,           0.0098749
                   3,            0.052866,            0.019496,           0.0051828,              0.2473,             0.14767,             0.13193,            0.045913,            0.052363,            0.015366,           0.0046951,            0.009901,            0.009901,            0.009901
                   4,            0.052087,            0.019678,            0.004907,             0.51325,             0.45004,             0.42593,             0.15664,             0.04695,             0.00978,           0.0052901,            0.009901,            0.009901,            0.009901
                   5,            0.049527,            0.019579,           0.0043717,             0.55647,             0.47957,             0.46484,             0.22177,            0.046184,           0.0098483,           0.0084815,            0.009868,            0.009868,            0.009868
                   6,            0.048792,            0.019125,           0.0041597,             0.20689,             0.28433,             0.18068,            0.065243,            0.048855,            0.010317,            0.006821,            0.009835,            0.009835,            0.009835
                   7,            0.047592,            0.019023,            0.004284,             0.68076,             0.61308,             0.62436,             0.30726,            0.042031,           0.0088352,           0.0030051,            0.009802,            0.009802,            0.009802
                   8,            0.046267,            0.018346,           0.0034334,             0.62505,             0.51347,             0.51433,             0.27604,            0.042838,           0.0092831,           0.0084742,            0.009769,            0.009769,            0.009769
                   9,            0.046754,            0.018498,           0.0035318,             0.74759,             0.62437,             0.67807,             0.37773,            0.039828,           0.0083941,           0.0034429,            0.009736,            0.009736,            0.009736
                  10,            0.045063,            0.018599,           0.0035116,             0.61708,              0.4915,             0.50584,             0.25091,            0.044312,           0.0088576,           0.0040385,            0.009703,            0.009703,            0.009703
                  11,            0.044809,            0.018489,           0.0035008,             0.72149,             0.57371,             0.64059,             0.33504,            0.040769,           0.0091536,           0.0036357,             0.00967,             0.00967,             0.00967
                  12,            0.044756,            0.017884,           0.0034536,             0.72224,              0.6083,             0.65771,             0.36009,            0.039316,           0.0086055,           0.0034355,            0.009637,            0.009637,            0.009637
                  13,            0.043666,            0.018145,           0.0030724,             0.75316,             0.65558,              0.6931,             0.39204,            0.037892,           0.0082521,             0.00281,            0.009604,            0.009604,            0.009604
                  14,            0.042642,            0.017555,           0.0029441,             0.73289,              0.6789,             0.70588,             0.40593,            0.037533,           0.0080433,            0.002948,            0.009571,            0.009571,            0.009571
                  15,            0.042902,            0.017646,           0.0033866,             0.72389,             0.61621,             0.66206,             0.35281,            0.038822,           0.0084226,           0.0043535,            0.009538,            0.009538,            0.009538
                  16,             0.04263,            0.017627,           0.0028761,             0.73901,             0.59706,             0.67388,             0.36524,            0.039126,           0.0084541,           0.0044025,            0.009505,            0.009505,            0.009505
                  17,            0.042855,            0.017558,           0.0027015,             0.79345,             0.69367,             0.74078,             0.41454,            0.037428,           0.0078567,            0.002751,            0.009472,            0.009472,            0.009472
                  18,            0.041604,            0.017199,            0.002468,             0.73971,             0.67153,             0.70429,             0.40584,            0.036035,           0.0082078,           0.0029388,            0.009439,            0.009439,            0.009439
                  19,             0.04217,            0.016969,           0.0025262,             0.64073,             0.49049,             0.55278,             0.28338,            0.042693,           0.0092155,           0.0050774,            0.009406,            0.009406,            0.009406
                  20,            0.041336,            0.017061,           0.0032966,             0.77538,             0.68919,             0.72789,             0.41717,             0.03719,           0.0081306,           0.0026708,            0.009373,            0.009373,            0.009373
                  21,            0.041279,            0.017519,           0.0026471,              0.8011,             0.68755,             0.74386,             0.44125,            0.036881,           0.0076688,           0.0028761,             0.00934,             0.00934,             0.00934
                  22,             0.04125,            0.017345,           0.0020232,             0.83023,             0.71284,              0.7597,             0.43815,              0.0359,           0.0075588,           0.0035105,            0.009307,            0.009307,            0.009307
                  23,            0.039606,            0.017162,           0.0024321,               0.795,              0.6885,             0.73519,             0.43473,            0.036004,            0.007601,           0.0036293,            0.009274,            0.009274,            0.009274
                  24,            0.040727,            0.017097,           0.0024672,             0.74223,             0.67126,             0.71861,             0.41052,            0.036301,           0.0079538,           0.0033027,            0.009241,            0.009241,            0.009241
                  25,            0.040308,            0.017219,           0.0021793,             0.80101,             0.68209,             0.73886,             0.43493,            0.035146,           0.0078002,           0.0034787,            0.009208,            0.009208,            0.009208
                  26,            0.040081,            0.016981,           0.0024181,              0.7214,             0.66733,             0.70074,             0.38051,            0.036847,           0.0078912,           0.0027426,            0.009175,            0.009175,            0.009175
                  27,            0.039244,            0.017237,           0.0023697,             0.80809,             0.70039,             0.74498,             0.44835,            0.034766,           0.0075451,             0.00366,            0.009142,            0.009142,            0.009142
                  28,            0.039772,            0.016934,           0.0022518,             0.80562,             0.71847,             0.76731,             0.44918,            0.035736,            0.007691,           0.0028327,            0.009109,            0.009109,            0.009109
                  29,            0.039685,            0.016766,           0.0021914,             0.78411,             0.67336,             0.72487,             0.42019,            0.035854,            0.007664,           0.0039477,            0.009076,            0.009076,            0.009076
                  30,            0.039611,             0.01662,           0.0024558,             0.81212,             0.70082,             0.75465,             0.42893,            0.035356,           0.0076229,           0.0028302,            0.009043,            0.009043,            0.009043
                  31,             0.03909,            0.016702,           0.0020308,             0.80553,              0.7115,             0.74264,             0.43922,            0.035786,           0.0077567,           0.0028658,             0.00901,             0.00901,             0.00901
                  32,            0.038828,            0.016921,           0.0018168,             0.82318,             0.71113,             0.76613,             0.46781,            0.035795,           0.0076478,           0.0028847,            0.008977,            0.008977,            0.008977
                  33,            0.038519,            0.016305,            0.002158,             0.80039,             0.68672,             0.75238,             0.44343,            0.034786,           0.0075374,           0.0032366,            0.008944,            0.008944,            0.008944
                  34,            0.038774,            0.016081,            0.001862,             0.81582,             0.70851,             0.76329,             0.45316,               0.036,           0.0073879,           0.0035346,            0.008911,            0.008911,            0.008911
                  35,            0.038231,             0.01655,           0.0020797,             0.81077,             0.71305,             0.76147,             0.45181,            0.034966,           0.0074612,           0.0029119,            0.008878,            0.008878,            0.008878
                  36,            0.038009,             0.01643,            0.002031,             0.81908,             0.72684,             0.76925,             0.45959,            0.034984,           0.0073765,           0.0032703,            0.008845,            0.008845,            0.008845
                  37,            0.037829,            0.016352,           0.0017482,             0.77948,             0.67814,             0.72469,             0.43833,            0.034997,           0.0077066,           0.0036109,            0.008812,            0.008812,            0.008812
                  38,            0.037898,            0.016332,           0.0015133,             0.82996,               0.725,             0.77576,              0.4603,            0.034945,           0.0076374,           0.0037453,            0.008779,            0.008779,            0.008779
